song,spectrogram hash,mfcc hash,mel spectrogram hash,Chroma_stft hash
ImagineDragons_natural_10.mp3,a93193b58b9153fcd2906f4ed6406d6ee4046ddad48679d2ec46bb20ec4ed6a1,a84083009380d200d60081a181b181bf83ffcffcec7fa5ffa4bf7caf7c2f7c0f,81b1939193d0c242ee426c66ec21f4a5fc8156c67e4266266f2a6d6f6d5b6c5f,c052c0523fad3fadc052c0523fad3fadc052c0523fad3fad3fadc052c0523fad
Group22_Song1_Full.mp3,8fe0a69a8fe0a69a8fe0bdb48fc05964bfc05b6cbf805b6cbc824b2ebc8a4a2a,8fc08fc08fc087c087d483e583fd837fb03be01bf01bf01ff01f701f701f701f,87c087c08780a7a0afa0bea2fac07e465a427e5a7e1a743a787a707f68ed68ed,9f80607f607f9f809f80607f607f9f809f80607f607f9f80607f607f9f809f80
group12_song1_music.mp3,8e143adb8e147adb8e1c76db861c76db860c56fb860856ff940856bdd080573d,88048400a481a523a4e1a561a969ab5e8b5edadeda9eda9ede8edfaed6aad68c,8e1c8e1c8e1c8e1c8e1c8e1c8e1c8e1e8e16ca16cf164b764b3679f679f671e3,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
