song,spectrogram hash,mfcc hash,mel spectrogram hash,Chroma_stft hash
group12_song1_full.mp3,8b4a9b5a8b58bbda8d1474b68e1476b7961576b5c4a564b5c4a16465c4a16f6d,8404c420e4a5e1a5b9a1b950bb5abb5a9a5a9b5acb5ac6dfc657c6b546b744a5,9b0a9b0a9e1a969b969b86158e558b748b744f66462464f764d56cd569d569d1,d02a2fd52fd5d02ad02a2fd52fd5d02ad02a2fd52fd5d02a2fd52fd5d02ad02a
group12_song1_music.mp3,8e143adb8e147adb8e1c76db861c76db860c56fb860856ff940856bdd080573d,88048400a481a523a4e1a561a969ab5e8b5edadeda9eda9ede8edfaed6aad68c,8e1c8e1c8e1c8e1c8e1c8e1c8e1c8e1e8e16ca16cf164b764b3679f679f671e3,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
group12_song1_vocals.mp3,9b4a9b5a9b4a995a994a90969b5b56959b5b64b5912b64a5952b6464956b6d6c,995a994a99a8d8ac9b12ab56ab529a58d689e42be441e4a5e6b5e695e6b5e4a5,9b4a9b4a9b1a919b94db9553bb55ab75ab642564646564a5648d6c956c956c95,96c784c769386b3896c396c3693c693c96c796c37aa86938693c96c794c7693c
group12_song2_full.mp3,a0ffc1ffa0ffd9fec3f47fd4d3e83f41d4283e01d5203f00d5283e01c52b2003,83ff83fec3e4dbf4cee480e4a1dea15ffc0bb40bb51bbc5b300b34037c007e00,80fd80fe83fed73ad71b570bbf2fb52baca354437e417c423c427d0238107f00,d6e0291f291fd6e0d6e0291f291fd6e0d6e0291f291fd6e0291f291fd6e0d6e0
group12_song2_music.mp3,aa55dfffaaf7ffffd3aa7fdd812b3d55807b3d41c0ab380180a9380080a96800,83ffc5efd72ad72bd733ff33ab56abd4abc4aaa4ea44a895a4d510051008540a,ab7fabff8aff82ff8afd88fd88ffc0ff807f803f803f540a100a540a54027400,87f887f87807780787f887f87807780787f887f878077807780787f887f87807
group12_song2_vocals.mp3,80ebc1be80ffc1f680f4d7e480f4572680be3f04833e7f04951b6e07d71b682f,80bf80bd82f588f4a8e484e484aab18bf50bfd13f703ff0aff02ff027f007f10,80fc80fc81bcd33ed70b170bb70bb5033c8374c37e437c4a3c527d523c347f70,974596ab689a68ba9745974568ba689297ab974578aa68ba68ba9745974568ba
group12_song3_full.mp3,af0eca88af0ec890a706b0719d039471da439079dad312fddaf312f8fafb1278,8f1faf87f536f422e110a481880c8006a008c00cda4fcfdc5eff5efd5ff972f1,8f2e8f0e8f06d306d34ed2de87c956d92cf952d16a535a52787a50a874a974a9,c7fe38013801c7fec7fe38013801c7fec7fe38013801c7fe38013801c7fec7fe
group12_song3_music.mp3,a70eda02a70eda62a70c9872a5059873bd619872bd619a72f5f39a72d1f31a78,9e97a527e7ace72de3a4e304e30cc008c00a984ad84adad2de739ef31ef318f3,a70ca70c870c870f8d479f479b57dad79ad75ad3585358d2705870d874b870b8,bc719860430e7fffffffb871800000007fff7fff80008000001f7fff7fff8000
group12_song3_vocals.mp3,8c67daca8c6788929d73a5319847a54d9ac7b14d5acb325d5a6b526d5aea426c,9e029cc39c739c7391d79c03bc84af84e728e33ce32ce32ce3ace3ace3386338,8c679c679867dac25ada5ad83a897489668962d9625662524bca57ab74a975ad,d200f8016d047c039a089a436d106591da099a6b6f876d9f6dff92fa9af865ff
group12_song4_full.mp3,b1d0830fb0d8c707fc6c4e62fc2f66e0df2764e4df0724f4ce07309cce07391c,bda7fc37fc27fc27fc67b71983b891f881d883c883c083d88388470173097e47,b595b595aca7ca6eca6a4b4fd71d574d434d434d74f0557434b449422c8a559a,ca4c35b335b3ca4cca4c35b335b3ca4cca4c35b335b3ca4c35b335b3ca4cca4c
group12_song4_music.mp3,b0f09909b0f80f07f43c46e6f53740f0db1364f2db136cb2db037cf6cb036466,9333e733fd33f83bfc3ebcbcb8dcb0cc80cc82cc82cc83c9cb83c70347034707,b5b0b5b0b5b1b175d979db49db295b4bcb7b4b5b4ad24a5242f2464e24aa0486,f2b1f2b10d4e0d4ef2b1f2b10d4e0d4ef2b1f2b10d4e0d4e0d4ef2b1f2b10d4e
group12_song4_vocals.mp3,8715870785158743980d4ee38a0f6ee2ca2f66e6ca2f34fcca2f35bcce2e3598,8f0f8a0f880f98078a4583c187e187d1e751f570f550f43af4b8f4be70b878fa,87d587458e47ca46ca464707d71dd70d574d55497551757475367c3278927892,ca2eca2e35d135d1ca2eca2e35d135d1ca2eca2e35d135d135d1ca2eca2e35d1
group16_song1_music.mp3,a09624b6a09e24b690d824f693c824b693c824f691d876f791d87f7791f85f67,80f883c8938e938ce696e624ee97ee36e470a473a471ec69d861da69d969d869,a0baa0baa0faa0faa0faa0baa0faa0faa0f9e86dc8ed4bc549c55f455f455f05,800080007f7f7f7f800080007f7f7f7f800080007f7f7f7f7f7f800080007f7f
